order,bar_value
Diptera,0.397572226
Lepidoptera,0.333839388
Psocoptera,0.120040198
Blattodea,0.074326704
Coleoptera,0.048487848
Neuroptera,0.007988078
Hymenoptera,0.007548948
Odonata,0.003169463
uc__Bdelloidea,0.00280549
Hemiptera,0.002195648
Trichoptera,0.000929795
Ephemeroptera,0.000895438
Rhabditida,0.000112735
uk__Metazoa,2.2547E-05
Pythiales,2.03997E-05
Adinetida,1.9326E-05
Araneae,1.07367E-05
Lactobacillales,8.58933E-06
Siphonaptera,3.221E-06
Hypocreales,2.14733E-06
Saprolegniales,1.07367E-06
