order,value,location
Diptera,0.338726313,PE
Lepidoptera,0.164084778,PE
Psocoptera,0,PE
Blattodea,0.438338018,PE
Coleoptera,0.031569155,PE
Neuroptera,1.01E-05,PE
Hymenoptera,0,PE
Odonata,0,PE
us__Bdelloidea,0.026412118,PE
Hemiptera,0.000232572,PE
Trichoptera,0,PE
Ephemeroptera,0,PE
Rhabditida,0,PE
uk__Metazoa,0.000212349,PE
Pythiales,0.000192125,PE
Adinetida,0.000182013,PE
Araneae,0,PE
Lactobacillales,1.01E-05,PE
Siphonaptera,3.03E-05,PE
Hypocreales,0,PE
Saprolegniales,0,PE
Diptera,0.255313939,DS
Lepidoptera,0.468192721,DS
Psocoptera,0.114277665,DS
Blattodea,0.051171265,DS
Coleoptera,0.065849927,DS
Neuroptera,0.017796068,DS
Hymenoptera,0.017390595,DS
Odonata,0.007767185,DS
us__Bdelloidea,2.63E-06,DS
Hemiptera,0.001034747,DS
Trichoptera,6.06E-05,DS
Ephemeroptera,0.000839909,DS
Rhabditida,0.00026856,DS
uk__Metazoa,0,DS
Pythiales,0,DS
Adinetida,0,DS
Araneae,2.63E-05,DS
Lactobacillales,0,DS
Siphonaptera,0,DS
Hypocreales,5.27E-06,DS
Saprolegniales,2.63E-06,DS
Diptera,0.399938951,XR
Lepidoptera,0.231767322,XR
Psocoptera,0.155813773,XR
Blattodea,0.014676805,XR
Coleoptera,0.038693188,XR
Neuroptera,0.001549003,XR
Hymenoptera,0.000970405,XR
Odonata,0,XR
us__Bdelloidea,0,XR
Hemiptera,0.003710774,XR
Trichoptera,0.001920308,XR
Ephemeroptera,0.000289299,XR
Rhabditida,6.83E-06,XR
uk__Metazoa,0,XR
Pythiales,0,XR
Adinetida,0,XR
Araneae,0,XR
Lactobacillales,0,XR
Siphonaptera,0,XR
Hypocreales,0,XR
Saprolegniales,0,XR
Diptera,0.804832225,HZ
Lepidoptera,0.189656684,HZ
Psocoptera,0,HZ
Blattodea,0,HZ
Coleoptera,0.000538584,HZ
Neuroptera,0,HZ
Hymenoptera,0,HZ
Odonata,2.51E-05,HZ
us__Bdelloidea,0,HZ
Hemiptera,0,HZ
Trichoptera,0,HZ
Ephemeroptera,0.00485978,HZ
Rhabditida,0,HZ
uk__Metazoa,0,HZ
Pythiales,0,HZ
Adinetida,0,HZ
Araneae,0,HZ
Lactobacillales,8.77E-05,HZ
Siphonaptera,0,HZ
Hypocreales,0,HZ
Saprolegniales,0,HZ
